,PC1,PC2,PC3,PC4,PC5
Neuron_022,0.010055410097807865,0.12331550931242614,-0.08022879214987082,-0.027955721180587593,0.05442379187388529
Neuron_023,0.1145046118067755,0.04195901912872831,-0.05604969974257401,0.05344489384816574,0.06038953952744568
Neuron_024,0.08077192332771084,0.12241840100508615,0.03330827647880895,-0.12189316016129345,-0.009140934870987188
Neuron_025,-0.05152327625951942,0.11705579364771379,0.061177372182761904,0.03650885441140801,-0.04044420635874103
Neuron_026,0.022142187345596323,0.06934956748543654,-0.0013050065193713795,0.21675614804449606,-0.09199392388585649
Neuron_027,0.14456964090259564,0.037116332782292816,-0.09178917837596816,0.10044493467202692,0.010897567787704864
Neuron_028,0.08291732749183268,0.07685009145159691,-0.1029874761170518,0.028121985050003958,0.1439046182891511
Neuron_029,0.08507916027524032,0.070033948512085,-0.0229438837187197,-0.12984566184366955,-0.06833020131412344
Neuron_030,0.020775192879348432,0.10224662273309233,-0.046569728308774136,-0.10426878354840596,0.24162800814823113
Neuron_031,-0.009055712020080509,0.1391069083446702,-0.11032246380135002,-0.02412049976672202,-0.0685435140456195
Neuron_032,0.08266239954587071,0.05175539521137202,-0.013292761173170027,-0.04896525175045498,0.04490335094253091
Neuron_033,0.056708739492311845,0.10316670513545771,-0.12827536632483882,-0.015136412153269796,0.007486401861066216
Neuron_034,-0.04157137526936226,0.08229865977861682,-0.12145506531716903,0.03393975509259268,-0.0495621056752572
Neuron_035,0.019326620815784464,0.03502733413616185,0.05089270796335405,0.2241518650464748,-0.08183125675403434
Neuron_036,0.12044996487229295,0.017637762980914563,-0.03294229171456057,-0.11157059501042688,0.008396316242063011
Neuron_037,0.11172534245553255,0.07286797359403781,0.011152594092123528,-0.07628949450165358,-0.10975644879640509
Neuron_038,0.1292138454751658,0.03182387308960558,0.09666700393823995,-0.036706329129148174,0.07033317884109785
Neuron_039,0.16024694034217923,-0.002833331318149567,-0.0109055706752256,0.014371017712742715,-0.05469464445913495
Neuron_040,0.03898216384997342,0.05416414058145601,0.014305270479321572,-0.20604936868256146,0.04270580191178
Neuron_041,0.11957174054544219,-0.02864994241685336,0.11060990468775422,0.08270856670837576,-0.015423116599266028
Neuron_042,0.012648375480421144,0.1236873260704295,-0.08850498979399754,0.0014151935177034725,-0.03874226938359614
Neuron_043,0.12380233799503233,-0.0535236564707332,-0.03376858762292031,0.02571171935710903,-0.0871504589380542
Neuron_044,0.1425659746834582,0.008832891624382456,-0.03811881119584492,0.019210116026844196,-0.03026263414027304
Neuron_045,-0.050746557795090935,0.12739986940230533,-0.13031058016715025,-0.02724670366473557,-0.04849162242610839
Neuron_046,0.10649102887839598,0.02561424230315449,0.0033681026478975876,0.01165885198534089,0.0833123616545379
Neuron_047,-0.03262752194581397,0.11130242639645015,0.09048988226686859,-0.10898373997596317,-0.00027741767222286533
Neuron_048,0.0036830363322499903,0.09838864170169816,0.13629231054515223,-0.09340442962046343,-0.10259230671642512
Neuron_049,0.04797985115051089,-0.036225520769026694,0.09942472892488421,-0.01546912757828939,-0.18275456496572204
